Name,Price,Depreciation,Reg_Date,Total_Days_COE,M_Date,Mileage ,Transmission,Engine_Cap,Road_Tax,Power,CurbWeight,features,accessories,description,coe,omv,arf,deregValue,noOfOwners,typeOfVeh,category,availability
Hyundai Elantra 1.6A Elite,31000,8040,26-Nov-11,1072,2011,"123,000 km ",Auto,1591,738,95.6 kW (128 bhp) View specs of the Hyundai Elantra (2011-2014),1267,"1.6L DOHC CVVT Engine, Reliable And Responsive Auto Transmission, Cruise Control. Reverse Camera On Mirror.","High Spec Original Elite Model With Leather Electric Seat, Knock Down Rear Seat, Factory Fitted Audio System, Auto Headlights, Fog Lights.","Well Taken Care Of, Did Not Drive Much Due To Change Of Work Location Which Does Not Require Driving. Selling Off Due To Low Usages. New Alternator Changed Few Months Ago. Service Records Available. Fuss Free Drive! View To Believe",54887,14505,14505,24913,4,Mid-Sized Sedan,"PARF Car, Direct Owner Sale",TRUE
Mazda 5 2.0A Sunroof,49800,9120,25-Apr-13,1591,2012,"110,000 km ",Auto,1999,1212,106.0 kW (142 bhp) View specs of the Mazda 5 (2012-2018),1527,"2.0L DOHC Engine, 6 Speed Automatic Transmission With Step Tronic, Dual Power Sliding Doors, ABS, SRS Air Bags, Auto Headlights, Sunroof, Fog Lights!","Original Factory Fitted Black Color Leather Seats, 16"" Sports Rims, Pioneer DVD Player, Bluetooth, Reverse Sensor And Camera, Retractable Side Mirror!","$8k All-In Drive Away Only, Low Monthly Installment, High Paper Value, Selling The Cheapest In The Market, Price Negotiable, Excellent Condition Maintain By The Previous Owner, Hassle Free & Accident Free, Drive With A Peace Of Mind, Trade In Or Scrap Car Welcome, Flexible Loan With Lowest Interest Rate Can Be Arrange, Hurry Contact Us For More Information Or Drop By For A Test Drive,",67010,20010,20014,43256,1,MPV,"PARF Car, Premium Ad Car",TRUE
Toyota Corolla Altis 1.6A,73800,7970,15-Dec-16,2921,2016,"20,000 km ",Auto,1598,742,90.0 kW (120 bhp) View specs of the Toyota Corolla Altis (2014),1215,50th Anniversary Edition. Reliable And Fuel Efficient 1.6L CVT 16 Valves Four Cylinder Dual VVT-I Engine. Smooth Auto Transmission. Airbags.,"Full TRD Bodykit, 17"" OZ Superturismo GT Rims, Factory Fitted Audio With GPS, Bluetooth, Reverse Camera, Multi Function Steering, Keyless Entry.","In House Finance Available! Limited Edition! Only 50 Units In Singapore, Service And Warranty By Borneo Motor. Superb Showroom Condition. Original Paintwork And Neat Interior! Fuel Efficient And Reliable. Smooth Engine And Gearbox In Very Good Condition. Trade In Are Welcomed. Don't Miss The Chance To Own This Limited Edition Unit! View Now!",48000,19990,19990,53432,1,Mid-Sized Sedan,"PARF Car, Premium Ad Car, Low Mileage Car",TRUE
Suzuki Swift Sport 1.6M (COE till 12/2028),51800,5170,19-Dec-08,3655,2008,"97,000 km ",Manual,1586,736,92.0 kW (123 bhp) View specs of the Suzuki Swift,1090,"1.6L 16V DOHC VVT Responsive And Smooth Engine, SRS Airbags, ABS, Multi Steering Controls, Retractable Side Mirrors/Indicators, Knockdown Rear Seats.","Sports Rims, Original Sports Leather Seats, Fog Lamps, Factory Fitted Audio System, Reverse Sensors.","Super Well Taken Care, Beautiful Inside Out, Tip Top Condition, Like New, Genuine Low Mileage, Low Depreciation, No Accident No Modifications, Call Now!",27571,15212,6001,27631,2,Hatchback,"COE Car, Direct Owner Sale, Low Mileage Car",TRUE
Audi A1 Sportback 1.0A TFSI S-tronic,82288,8840,10-Oct-17,3216,2017,"9,900 km ",Auto,999,392,70.0 kW (93 bhp) View specs of the Audi A1 (2011-2013),1165,"Fuel Savvy 1L Inline TFSI Engine Mated With 7 Speed Stronic Gearbox Producing 94 Bhp, Fuel Consumption At 22 Km/L.","16"" Original Rims, Audi MMI With Bluetooth Connectivity, Multi Function Steering Wheel, Auto Headlights, Auto Rain Sensors, Retractable Side Mirrors.","Down Payment $8,200 Only! From $1,180/Month. Drive This Perfect City Car With No Hassle At All! Diligently Serviced With Agent, Warranty Till 2020. Free Servicing With Agent. Always Parked Under Shelter, Very Low Mileage, Reluctant Sale Due To Under Utilized. Call Now To Arrange A Viewing! Strictly Appointment Only!",41761,22463,8449,43201,1,Hatchback,"PARF Car, Premium Ad Car, Low Mileage Car",TRUE
Mercedes-Benz S-Class S350L CGI AMG,96800,16990,5-Oct-11,1021,2011,"94,000 km ",Auto,3498,3164,225.0 kW (301 bhp) View specs of the Mercedes-Benz S-Class (2007-2013),1975,"3.5L V6 CGI Engine, 301 BHP, 7G-Tronic Automatic With Paddle Shifters, Auto Headlights And Rain Sensors, Keyless Entry/Start/Stop, Cruise Control.","Factory Fitted Audio System With Steering Controls, Rear And Side Electric Roller Blinds, Suction Doors, LED Lights, Front/Rear Recording Camera.","Nice Bidded Carplate, AMG Styling, 100% Accident Free, $0 Down Payment, Loan Up To 100%, Loan Bank And In House, Bad Credit, Ex Bankruptcy All Welcome, Call/SMS/WhatsApp Us For Viewing Now Please Call For Viewing And Enquiry.",68811,98073,98073,78186,3,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
Mercedes-Benz C-Class C180 Avantgarde,118800,14080,29-Jan-16,2600,2015,"53,000 km ",Auto,1595,740,115.0 kW (154 bhp) View specs of the Mercedes-Benz C-Class Saloon (2014-2018),1425,"1.6L 4 Cylinder Inline Turbocharged Engine At 154Bhp, 9G-Tronic With Paddle Shifter, Keyless Go, LED Auto Headlight, DRL, Rain Sensor, Park Assist.","Sport Rims, Leather Interior, Factory Audio With Aux/USB Interface And Bluetooth, Reverse Camera, Drive Dynamic Select, Auto Tailgate.","Special Interest Rate Of 1.98%, Fully Maintained And Warranty By C&C, Car In Tip Top Condition, View And Test Drive Today!",59889,35590,36826,70329,1,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
Toyota Corolla Altis 1.6A (COE till 09/2023),31800,6690,15-Sep-08,1731,2008,"103,000 km ",Auto,1598,742,80.0 kW (107 bhp) View specs of the Toyota Corolla Altis (2008-2013),1195,"After Work Viewing Welcomed Catered To Your Schedule, We Will Be Glad To Serve. No Obligations. Mechanical Or STA Inspection Welcomed. Cheapest!","All Original, Sports Rims,Leather Seats,CD Player/Audio System, Retractable Side Mirrors With Indicator, Solar Film,Reverse Sensor, Steering Controls.","1 Owner Only! Brand New Leather Seats. Well Maintained, Well Groomed Inside Out. No Repairs Needed. Comes With 6 Months Warranty By Our In House Workshop. Free Island Wide Towing In Event Of Emergency. We Provide Loans, Trade In, Insurance And Scrap Services With Flexibility. Kindly Call Us Now For More Information. STA/VICOM/Own Workshop Pre Purchase Evaluation Welcomed! Like New!",16170,16777,16777,15381,1,Mid-Sized Sedan,"COE Car, Premium Ad Car",TRUE
Mitsubishi Outlander 2.4A Sunroof,92800,10210,10-Oct-16,2851,2016,"13,900 km ",Auto,2360,1636,123.0 kW (164 bhp) View specs of the Mitsubishi Outlander (2014-2015),1530,"164hp 2360cc DOHC MIVEC Engine, 6 Speed CVT Gearbox, 4WD Selectable, 7 Airbags, Traction Control, Keyless Entry/Start, Cruise Control.","Sunroof, Auto Tailgate, Original Paintwork, Sports Rims, Multi Function Steering, Navigation, Bluetooth, DRL, HID, Front/Back Dash Camera.","$0 Down Payment Available, 1 Owner, Lowest Mileage 13'900km With Full Agent Record. 5yr Warranty. Spacious And Stylish With Full Spec Family Ideal SUV/MPV, Smooth And Comfort Handling.",55501,24148,25808,62799,1,SUV,"PARF Car, Low Mileage Car",TRUE
Alfa Romeo 159 2.2 JTS Selespeed,30800,9710,11-Nov-10,693,2010,"157,000 km ",Auto,2198,1446,136.0 kW (182 bhp) View specs of the Alfa Romeo Brera (2006-2009),1490,"Powerful 2.2L 6 Speed Selespeed Transmission Producing 182Bhp, JTS Direct Injection Twin Phase. 6 x Airbags, Cruise Control, Multi Function Steering.",Push Button Start/Stop. Auto Light Sensors. Rain Sensor. Side Retractable Mirror. Fog Lights. Electric Seats With Memory Function And Seat Warmer.,Low Depreciation. Well Maintained. Flexi In House Loan Available. Car Is Under Consignment. Trade In Welcome. Call For A Test Drive Now!,44090,24470,24470,21890,3,Luxury Sedan,PARF Car,TRUE
Nissan Qashqai 1.2A DIG-T,75800,8760,27-Oct-16,2868,2016,"37,411 km ",Auto,1197,508,85.0 kW (113 bhp) View specs of the Nissan Qashqai (2014),1285,"1.2L Made In U.K. 4 Cylinders 16 Valves Turbocharged Engine, 114 BHP, X-Tronic CVT Gearbox, ABS, Airbags, Cruise Control, Keyless Entry/Start/Stop.","Sports Rims, Leather Seats, Factory Fitted Audio System With Bluetooth/Steering Controls/GPS/Reverse Camera, Electronic Parking Brake, Fog Lights.","1 Owner Unit, Well Maintained, Spacious And Powerful With Comfortable Interior, Practical For Daily Use. Low On Road Tax And Maintenance! Call For A Viewing Appointment Today!",50991,18725,13725,50444,1,SUV,"PARF Car, Premium Ad Car",TRUE
Mitsubishi Lancer EX 1.6A,63800,6830,20-Jun-17,3106,2017,"50,000 km ",Auto,1590,738,86.0 kW (115 bhp) View specs of the Mitsubishi Lancer EX (2008-2017),1284,"4 Cylinder 16 Valve DOHC MIVEC Engine, 2 x Airbags, ABS, Climatic Auto Aircon, Auto Headlamps, Rain Sensors, Electrical Retractable Side Mirrors.","Sport Rims, Audio System, Multi Function Steering, Solar Film Reverse Sensor.","Very Well Maintained. Best Deal In Town. Buy With A Peace Of Mind. Price Negotiable, Loan Cater To Your Needs, Any Trade In All Welcome, Please Call Or Visit Our Showroom For Viewing Now!",50889,11146,11146,51720,2,Mid-Sized Sedan,PARF Car,TRUE
Nissan Sylphy 1.6A Premium,63800,7910,23-Dec-15,2564,2015,"59,410 km ",Auto,1598,742,85.0 kW (113 bhp) View specs of the Nissan Sylphy (2013-2016),1205,"Powerful 16 Valves Inline 4 Cylinder DOHC Engine, Dual SRS Airbags, ABS, Immobilizer, Smart Keyless Engine Start, Digital Climate Control Aircon.","16"" Sports Rims, Factory Integrated Touch Screen Infotainment Systems With GPS/Reverse Camera, Premium Leather Seats, Solar Film, Multi Function Wheel","Pristine Conditions! Superb Low Mileage Done At 59K. 1 Owner, Agent Maintained Unit. We Are The Cheapest Price In Market, 100% Accident Free. No Gimmicks, No Hidden Cash Top Up, Buy With Peace Of Mind. Full Loan Available, 100% Loan Approval, High Loan Or Bank Loan Available. Call Or Text Our Sales Team For Appointment Now. Before Its Gone.",56001,16439,16439,51699,1,Mid-Sized Sedan,PARF Car,TRUE
Lexus RX350,40888,15770,15-Oct-09,301,2009,"133,800 km ",Auto,3456,3100,204.0 kW (273 bhp) View specs of the Lexus RX350 (2009-2012),1975,"3.5 Litres V6 Engine, 6 Speed Auto Transmission, 8 Srs Airbags, Keyless Entry Push Start, Electric Memory Seats.","Leather Upholstery, Premium Lexus Audio Sound System, Multi-Steering Control.","Original Borneo Motors Car, 1st Owner Drove For 8 Years And Maintained By Borneo Motors. Current Owner Migrating - Reluctant Sale!",19629,55421,55421,29351,2,SUV,"PARF Car, Direct Owner Sale",TRUE
Honda Vezel 1.5A X,65800,7930,20-Jul-16,2870,2016,"23,000 km ",Auto,1496,682,96.0 kW (128 bhp) View specs of the Honda Vezel (2014),1190,"Powerful And Responsive 4 Cylinder Inline DOHC I-VTEC, SRS Airbags, ABS, Cruise Control, Traction Control, Keyless Engine Start.","Auto Dim Rear Mirror, MP3 Player, Auto Retractable Side Mirrors, Fog Lamps, Solar Film.","$0% Down Payment Possible! Come With 3 Years Warranty. Well Maintained By Previous Owner! Immaculate And Pristine Condition! No Repairs Needed! Fuel Economy And Low Maintenance. 100% Accident Free! In-House Loan Available! High Trade In, Call Now For More Details And Appointment.",45504,20697,10976,42828,2,SUV,"PARF Car, Low Mileage Car",TRUE
Audi A6 2.0A TFSI MU,68998,13480,14-Jun-12,1320,2012,"163,000 km ",Auto,1984,1194,132.0 kW (177 bhp) View specs of the Audi A6 (2011),1565,"Audi's Reliable And Fuel Efficient 2.0 TFSI Engine Producing 177 Bhp And 320 Nm, 8 Speed Multitronic Automatic Gearbox. Top Speed Of 240km/h.","Electric Memory Leather Seats, Keyless Entry, Power Boot, Parking Sensors, Paddle Shifters, Etc. Remarks.","Be Our Next Happy Buyer To Own This Quality Certified Audi A6 At Most Reasonable And Affordable Price! Straight Chassis, Beautifully Maintained Paintwork And Interior Leather.Wear And Tear Parts All Changed.Family 3rd Car. Very Solid Undercarriage Condition. High Loan And Low Down Payment Avail! Why Wait? Call Our Professional And Friendly Staffs For A Non-Obligated Discussion.",83000,43594,43594,57397,1,Luxury Sedan,PARF Car,TRUE
McLaren 12C,578000,73160,25-Nov-13,1789,2013,"3,900 km ",Auto,3798,3634,460.0 kW (616 bhp) View specs of the McLaren 12C (2011-2017),1514,"ARF $431,657, 3.8L Twin Turbo V8 Engine, 7 Speed Dual Clutch Auto Transmission, BHP: 616, Torque: 600Nm, 0-100 Km/h : 3.3 Sec, Top Speed : 329 Km/h","Ultra Light Weight Forged Rims, Carbon Fibre Interior, Multi Function Steering Wheel, Bluetooth Interface.",Well Maintained. Low Mileage. Easy In-House Financing Available. Check With Our Friendly Consultants For More Information!Price Inclusive Of GST.,89001,255365,431657,346221,2,Sports Car,"PARF Car, Rare & Exotic, Low Mileage Car",TRUE
Mercedes-Benz E-Class E200 Exclusive,194000,19100,24-Feb-17,3171,2016,"9,000 km ",Auto,1991,1202,135.0 kW (181 bhp) View specs of the Mercedes-Benz E-Class Saloon (2016),1605,"2.0L 4 Cylinder Turbocharged Engine, 181Bhp, 9G-Tronic Transmission, Agility Control, LED Headlamps, Keyless Go, Parking Pilot, Touch Control Buttons.","Factory Fitted Audio System With Navi, Bluetooth, Electric Seats, Leather Upholstery, 360 Camera, Power Closing Doors, Touch Pad, 18"" 5 Spoke Rims, Fu",1 Meticulous Owner And Parked Under Shelter. Unit Is Very Well Taken Care Of. In Show Room Condition With Very Low Mileage. This Unit Is Still Under Warranty With Agent. Very Well Taken Care. Loans Up To 85% With Interest Rates As Low As 1.99%. Viewing Is Strictly By Appointment Only So Call Now To Book!,53001,57065,74717,99513,1,Luxury Sedan,"PARF Car, Consignment Car, Low Mileage Car",TRUE
Maserati GranTurismo 4.2A,161800,34310,16-Mar-12,1285,2012,"41,000 km ",Auto,4244,4332,298.0 kW (399 bhp) View specs of the Maserati GranTurismo (2008),1880,"4.2L, V8 Engine Produces 405Bhp, 6 Speed ZF Auto Transmission, Paddle Shifters, Electric Seats, Auto Lights, Auto Wipers, Navigation, Bluetooth.","Parking Indicators, Cruise Control, Multi Steering, Folding Mirrors, Red Leather Interior.","Well Maintained By Owner, Only Serviced By Agent And Very Low Mileage. Very Clean Hot Red Interior Leather And Still In Original Grey Paintwork. Loans Up To 85% And Interest Rates As Low As 1.99%. Viewings Are Strictly By Appointment Basis Only, No Walk In. Call Now To View!",67101,100274,100274,87018,1,Sports Car,"PARF Car, Consignment Car, Low Mileage Car",TRUE
Toyota Alphard 2.4A Moonroof,101800,13430,16-Jun-14,2065,2014,"51,000 km ",Auto,2362,1638,125.0 kW (167 bhp) View specs of the Toyota Alphard (2009-2015),1920,"SRS Airbags, ABS, Powerful And Reliable 2.4L VVTI Engine, 7 Speed CVT Auto, Keyless Start/Stop, Rear Aircon, Navigation System, Twin Moonroof.","Leather Seats, Sports, Sports Rims, Audio System, Electric Seats, Twin Power Sliding Doors, Reverse Camera.","This Unit Is Well Maintained By Owner And Very Clean Interior. All Interior Functions Working Perfectly And Low Mileage. Loans Available Up To 85% With Interest Rates As Low As 1.99%, Viewings Strictly By Appointment Basis Only, No Walk In. So Call Now To Enquire!",78700,45416,55583,85048,2,MPV,"PARF Car, Premium Ad Car",TRUE
Mercedes-Benz E-Class E200 NGT (COE till 05/2026),43800,5860,15-Jun-06,2891,2006,"160,000 km ",Auto,1796,1169,120.0 kW (160 bhp) View specs of the Mercedes-Benz E-Class Saloon (2004-2009),1530,"1.8L In Line 4 Cyclinders Turbocharged Engine, 5 Speed Auto Produce 160Bhp, 6 x Airbags, Cruise Control, Climate Control Aircon, Rear Aircon.","Leather Interior, Original 16"" S/Rims, Navigation, 2 x Electric Memory Seat, Mutil Function Steering, Parking Sensor, Auto Headlight, Rain Sensor.","Undisturbed Boot Space! Car In Tip Top Well Maintain Condition, View And Test Drive To Believe!",46048,57481,40238,34391,2,Luxury Sedan,"COE Car, Premium Ad Car",TRUE
Honda Jazz 1.5A RS,62800,7840,28-Mar-16,2854,2016,"68,000 km ",Auto,1498,684,96.0 kW (128 bhp) View specs of the Honda Jazz (2014-2017),1046,"Engine Producing An Impressive 128BHP, Powered By Honda's 1.5L 4 Cylinder Inline 16 Valve DOHC I-VTEC & Coupled With A Earth Dreams CVT Transmission.","Bluetooth, Touch Screen Multimedia Player, Reverse Parking Camera/Sensors, RS Model Sports Rims, Leather Seats, Retractable Side Mirrors, LED DRL.",100% Loan Available! High Approval Rate! Agent Unit! Agent Maintained! Still With Agent Warranty! Well Known For Its Excellent Fuel Efficiency! Call The Assign Sales Person To Find Out More!,51301,16259,11259,45845,1,Hatchback,"PARF Car, Premium Ad Car",TRUE
Toyota Allion 1.5A (COE till 11/2023),29888,6080,11-Nov-08,1768,2008,"98,000 km ",Auto,1496,682,81.0 kW (108 bhp) View specs of the Toyota Allion (2007-2012),1200,"1.5L DOHC Toyota VVT-I Engine, Smooth CVT Auto Transmission, SRS Airbags, Keyless Entry With Start/Stop, Digital Auto Climatic Aircon Control.","Sensors. Rear Knockdown Seats. Leather Seats, Solar Film, Auto Retractable Folding LED Mirrors. Fog Lamps.",Free 1 Servicing Upon Purchase! 1 Years Warranty Engine And Gearbox! $2K Down Payment! 100% Loan Approval! Good Condition On Both Interior And Exterior. Comes With 5 Years COE. Call Us Now To Book A Breezy And Smooth Test Drive On This Unit With Our Friendly Sales Staff!,14835,16440,16440,14575,2,Mid-Sized Sedan,"COE Car, Premium Ad Car, Low Mileage Car",TRUE
Volkswagen Golf GTI 5DR,34800,12360,15-Jun-10,576,2010,"143,211 km ",Auto,1984,1194,155.0 kW (207 bhp) View specs of the Volkswagen Golf GTI (2003-2009),1339,"2.0L Turbocharged Engine, 207 BHP, 6 Speed DSG Auto With Paddle Shifters, Cruise Control, ABS, ESP, Airbags, Auto Headlights And Rain Sensors, ISOFIX.","Sunroof, Sports Rims, Leather Seats, Pioneer DVD Player With Bluetooth/Telephony, Retractable Side Mirrors, Solar Film, Reverse Sensors, Fog Lights.",Sporty White Facelifted Golf GTI 5DR (MK6) Of Excellent Condition! Low Mileage Clocked Of 17500km Annually. Confirm No Repairs Needed. 100% Accident Free/Stock Condition. Owner Consignment. Call Now!,40002,32425,32425,23850,4,Sports Car,"PARF Car, Premium Ad Car",TRUE
Nissan Qashqai 1.2A DIG-T Premium,81800,8970,24-Apr-17,3215,2017,"19,000 km ",Auto,1197,508,85.0 kW (113 bhp) View specs of the Nissan Qashqai (2014),1285,"Turbocharged Inline 4 Engine At 114HP. Silky Smooth CVT Gearbox, X-Tronic Transmission, ABS, Keyless Start/Stop Entry, Foldable Mirrors, Touch Screen.","Factory Audio, Leather Seats, Sports Rims, Daytime Running Lights. Inbuilt Reverse Camera. GPS. Bluetooth. Parking Sensors.","$3960 Driveaway! $1480/month! Low Mileage Unit With 2 Free Servicing! Agent Warranty Included! Trade In Available! Call Now For Custom Loan Plans! Designed For Urban Driving, This 1.2L Turbo Variant Is Perfectly Suited For Local Use. Lighter Than Conventional SUVs And Offers Excellent Low End Acceleration. Save On Fuel And Road Tax Too! Test Drive Available!",52000,18583,13583,53682,1,SUV,PARF Car,TRUE
Mazda CX-5 2.5A,90800,10410,16-Mar-16,2802,2016,"19,000 km ",Auto,2488,1786,141.0 kW (189 bhp) View specs of the Mazda CX-5 (2012-2017),1568,"2.5l SkyActiv-G Engine, 6 Speed Auto, Front Wheel Drive, Dual Zone Aircon, ""I-Stop"" Idling System, LED Fog And Headlamps.","Multi Function Steering Wheel, Original BOSE Sound System, Navigation, Bluetooth Interface, Reverse Camera With Sensors, Sunroof.","Agent Unit! 20% Down Payment, Agent Warranty, As Good As New, High ARF Value At $30,481, Low Mileage, Immaculate Condition, Trade-in And Consignment Options Available, All Offers Considered.",47604,27486,30481,57410,1,SUV,"PARF Car, Premium Ad Car, Low Mileage Car",TRUE
Infiniti Q70 2.5 Premium,155800,14810,30-Aug-17,3166,2017,"23,000 km ",Auto,2496,1794,163.0 kW (218 bhp) View specs of the Infiniti Q70 (2011-2017),1680,"V6 Engine, 219hp, 7 Speed Automatic Transmission, Rear Wheel Drive, Smooth, Powerful And Quiet.","Multi Function Steering, Keyless Entry/Start, LED Lights, Sunroof, Reverse Camera, BOSE Audio, AUX/USB,Bluetooth Interface, Sunroof.","A Stylish And Timeless Luxury Sedan That Offers Unimpeachable Reputation For Quality, Brimming With Passion Craftsmanship And Driver Appeal. Management Unit, Excellent Condition.",50101,43908,53472,83767,1,Luxury Sedan,PARF Car,TRUE
Toyota Corolla Altis 1.6A,67800,8320,11-Jan-16,2871,2015,"64,936 km ",Auto,1598,742,90.0 kW (120 bhp) View specs of the Toyota Corolla Altis (2014),1205,"Fuel Efficient And Powerful 1.6L 16 Valve DOHC VVTI Engine, Smooth Auto Transmission With ECT, Dual SRS Airbags, ABS, Digital Climate Control Aircon.","16"" Sports Rims, Leather Seats, Toyota DVD With Bluetooth, Reverse Cam/ Sensors, Steering Controls, Retractable Mirrors With Indicators, Fog Lamps.","1 Owner, Clean And Neat Interior With Well Maintained Exterior, Geniune Mileage, Flexible Loan At Low Down Payment Available, Trade In Welcome, View Now!",54301,17804,17804,51810,1,Mid-Sized Sedan,"PARF Car, Premium Ad Car",TRUE
Toyota Corolla Altis 1.6A Elegance,75800,8200,21-Dec-16,3205,2016,"18,268 km ",Auto,1598,742,90.0 kW (120 bhp) View specs of the Toyota Corolla Altis (2014),1215,"1.6L CVT 16 Valves Four Cylinders Dual VVT-I Engine. Smooth Auto Transmission. Airbags, Auto Headlights, Rain Sensors, Keyless Entry/Start/Stop.","17"" Sports Rims, Premium Leather Seats, DVD Player With Navigation, Reverse Camera/Sensors, Steering Controls, Electric Seat, Side Mirror Indicators.","1 Owner, Accident-Free, Low Mileage Done, Serviced And Maintained By Agent Borneo Motors. New Car Condition, Original Paintworks. Low Down Payment And Flexible Loan, Trade In Welcome, View Now!",48000,19995,19995,53515,1,Mid-Sized Sedan,"PARF Car, Premium Ad Car, Low Mileage Car",TRUE
Toyota Wish 1.8A,61800,11340,11-Jul-13,1694,2013,"91,000 km ",Auto,1798,976,105.0 kW (140 bhp) View specs of the Toyota Wish (2009-2018),1360,"Airbags, ABS, Reliable 1.8L DOHC VVTI Valvematic Engine, 7 Speed CVT Transmission, Keyless Start/Stop, Digital Climate Control Aircon.","Toyota DVD Player, Reverse Sensor, Solar Films, Retractable Side Mirror.","Excellent Condition, Superb Condition, Don't Miss The Opportunity! Low Mileage Done At 91k Km, New Paintwork Done, No Repair Needed, 100% Accident Free, No Hidden Cash Top Up, No Gimmicks, Buy With Peace Of Mind, Call Our Sales Team For Appointment Now Before It's Gone!",62000,23453,19835,42252,1,MPV,PARF Car,TRUE
Mercedes-Benz B-Class B200 Chrome,63800,12100,24-Jun-13,1769,2013,"63,000 km ",Auto,1595,740,115.0 kW (154 bhp) View specs of the Mercedes-Benz B-Class (2012),1425,"Powered By 1.6L Inline 4 Cylinders Turbocharged Engine, 154Bhp, 7G-DCT Transmission, Multi-Function Steering With Paddle Shifts, LED Auto Headlamps.","Sports Rims, Electric Leather Seats, Built In Audio System With Steering Controls/Telephony/Bluetooth, Reverse Camera And Sensors, Solar Film.","Well Taken Care By 1 Owner. Low Mileage And Service With Agent Cycle And Carriage. Luxury, Spacious And Comfortable Ride For You And Your Family. Bank And In House Loan Available! Trade In Welcome. Call For Appointment For A Test Drive Now Before The Car Is Gone.",62497,25714,18000,40903,1,Hatchback,PARF Car,TRUE
Nissan Sylphy 1.5A,18888,8920,29-Jan-10,617,2009,"160,923 km ",Auto,1498,684,80.0 kW (107 bhp) View specs of the Nissan Sylphy (2007-2012),1175,"Smooth And Powerful 16 Valves Inline 4 Cylinder DOHC Engine, Dual SRS Airbags, ABS, Immobilizer, Keyless Entry/Start, Digital Climate Control Aircon.","Sports Rims, Factory Fitted Player, Leather Seats, Solar Films, Reverse Sensors, Retractable Side Mirrors.","1 Owner, Well Maintained By Owner,Pristine Condition, Accident Free, Don't Wait, Call Us Now!",18267,17678,17678,11780,2,Mid-Sized Sedan,"PARF Car, Premium Ad Car",TRUE
Mercedes-Benz C-Class C180K Avantgarde,57800,12260,3-May-12,1321,2012,"115,000 km ",Auto,1597,742,115.0 kW (154 bhp) View specs of the Mercedes-Benz C-Class Saloon (2002-2006),1500,"Responsive Inline 4 Supercharged Engine. Smooth Auto Transmission. Eco-mode, Cruise Control, Daytime Running Lights, Auto Headlights, Rain Sensors.","Panoramic Roof, Sports Rims, Electric Leather Seats, Factory Fitted Audio System, Multi Function Steering Controls, Fog Lights, Dual Climatic Air Con.","Cheapest In Town! Rare Panoramic Roof Unit! Best Condition In Town! Low Mileage Clocked! Well Maintained By Previous Owners, Accident Free, Immaculate Condition, Flexible Loan Scheme Call/SMS/WhatsApp Now For Appointment!",56551,32549,32549,40307,2,Luxury Sedan,PARF Car,TRUE
BMW 7 Series 730Li Sunroof,60800,15030,30-Mar-10,646,2009,"100,000 km ",Auto,2996,2382,190.0 kW (254 bhp) View specs of the BMW 7 Series (2009-2012),1855,"3.0L Inline 6 Double Vanos Engine, 6 Speed Auto Transmission, 258Bhp, 6 x Airbags, DSC, DTC, ABS, PDC, Front And Rear Parking Sensors.","Sunroof, Automatic Boot Release, BMW IDrive With Navigation, Bluetooth, Reverse Camera. Automatic Rear Sun Blinds, Suction Doors, Comfort Access.","Elegant Grey Beauty, Only 1 Owner! Low Mileage Done.Very Well Maintained, Excellent Condition. No Repairs Needed. View To Appreciate. High Loan And High Trade-In Available! Call Our Friendly Sales Person For Viewing Now. Hurry!",24229,82739,82739,48640,1,Luxury Sedan,PARF Car,TRUE
Mercedes-Benz C-Class C180 CGI,43800,13710,22-Sep-10,615,2010,"141,000 km ",Auto,1796,974,115.0 kW (154 bhp) View specs of the Mercedes-Benz C-Class Saloon (2002-2006),1495,"1.8L CGI Inline 4 Cylinder Turbocharged Engine, 156BHP, 250NM, 5 Speed Auto, 6 x SRS Airbags, 4 x ABS Disc Brakes, Cruise Control. 0 To 100Km/H: 8.5s.","17"" Original Alloy Wheels, Black Leather Upholstery Retractable Side Mirrors, Reverse Camera And Sensors, Rear Knockdown Seats.","Lady Owner! Well Taken Care Beauty That Just Change Tyres, Headlights And More With Receipts To Proof. Sleek And Well Maintained C180 Up To Date. Hurry, Call For Appt!",42889,38917,38917,29019,3,Luxury Sedan,"PARF Car, Consignment Car",TRUE
Mercedes-Benz SLK-Class SLK200 ML (COE till 08/2027),75800,8690,3-Sep-07,3199,2007,"77,320 km ",Auto,1796,1071,120.0 kW (160 bhp) View specs of the Mercedes-Benz SLK-Class (2004-2011),1340,"1.8L Super Charged Engine, Automatic Transmission, ABS, ESP, Airbags, Cruise Control, Auto Headlights And Rain Sensors.",Excellent Condition And Well Maintained. Wear And Tear Fixed. Clean And Near Interior. Powerful SLK200. Responsive Acceleration.,"Most Reliable Highly Sought Convertible, Powerful With Superb Handling! Picture Speaks A Thousand Words. Flexible In-house Loan Available! Make An Appointment With Our Sales Team To View!",50972,48714,53586,44450,4,Sports Car,"COE Car, Consignment Car, Low Mileage Car",TRUE
