Name,Price,Depreciation,Reg_Date,Total_Days_COE,M_Date,Mileage ,Transmission,Engine_Cap,Road_Tax,Power,CurbWeight,features,accessories,description,coe,omv,arf,deregValue,noOfOwners,typeOfVeh,category,availability
Nissan Latio 1.5A (COE till 11/2023),25800,5270,4-Nov-08,1781,2008,"98,743 km ",Auto,1498,684,80.0 kW (107 bhp) View specs of the Nissan Latio Sedan (2005-2011),1110,"HR15DE Inline DOHC Engine, 4 Speed Auto Transmission, SRS Airbags, ABS, Immobilizer, Intelligent Key Entry And Ignition.","Leather Seats, Sports Rim, Solar Film, Reverse Senor, CD Player.","Ideal For COE Renewal! All Time Reliable Sedan With Spacious Cabin That Will Never Fail You! Professional Evaluation By STA! View And Believe By Yourself, Buy It From Us With A Peace Of Mind, A Company Accredited With Outstanding Awards, Professional After Sales Service Assured. Discover The Greatness Of This Car At Our Air-con Showroom Today!",14835,15863,9254,14518,2,Mid-Sized Sedan,"COE Car, Low Mileage Car",TRUE
Mercedes-Benz M-Class ML300,72000,16560,16-Aug-11,972,2011,"83,000 km ",Auto,2996,2382,170.0 kW (227 bhp) View specs of the Mercedes-Benz M-Class (2006-2012),2135,Smooth 6 Cylinders V6 Engine With 7G-Tronic. All Wheel Drive Transmission Producing 227Bhp And 300Nm Torque.,"Sports Rims. Front And Rear Park Assist, Bluetooth Handsfree System, Dual Electric Seats With Memory, Electric Tailgate, Reverse Camera.",Xmas Promo! Beautiful Interior! Flexible Loan Up To 90%! Low Interest Rate! (1 Lawyer Owner). Fully Agent (C &C) Unit. Extended Premium Warranty Plus Servicing Can Be Arrange! Mint Condition! Call Our Friendly Sales Consultant Now For Viewing And Test Drive.,70890,55459,55459,52231,2,SUV,"PARF Car, Premium Ad Car",TRUE
Lexus IS Turbo IS200t Executive,138800,15090,2-Sep-16,2814,2016,"34,000 km ",Auto,1998,1210,180.0 kW (241 bhp) View specs of the Lexus IS 300 (2016-2018),1620,2.0L DOHC Turbocharged Engine. 241Bhp. Auto Transmission Gearbox. Cruise Control. Multi Function Steering. Paddle Shifter.,"Electric Seats. Premium Audio System. Park Assist, 8 Sensors And Reverse Camera. Lexus Comprehensive Infotainment, LED Headlamp And DRL, Paddle Shift.","Impeccable Condition. Well Maintained By 1st Owner. Full Servicing And Maintenance Record With Lexus Service Centre. 160 Point Check And Certified By Borneo Motors Singapore. Extended 5 Years Warranty, Unlimited Mileage.",56956,37505,44507,77369,1,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
Nissan Sylphy 1.5A,36999,7950,31-Aug-12,1352,2012,"82,000 km ",Auto,1498,684,80.0 kW (107 bhp) View specs of the Nissan Sylphy (2007-2012),1175,"Reliable 1.5L 16 Valves Inline 4 Cylinders DOHC Engine, 4 Speed Auto Transmission, ABS, Keyless Entry And Stop, Climate Aircon Controls, Airbags.","Brown Leather Seats, Sports Rims, Touch MP3 Audio System With CD Player, Reverse Camera, Solar Film, Retractable Side Mirrors And Fog Lights.",1 Owner New Arrival! Beautiful Grey In Brown Nissan Sylphy 1.5A. Well Maintained By Careful Owner And 100% Accident Free! Still In Original Paint Condition Since Day One! High ARF $14929 Call Us Now. Road Tax Till Feb 2019! Do Not Miss! Cheaper Then Taking Public Transport!,66889,14929,14929,34554,1,Mid-Sized Sedan,PARF Car,TRUE
BMW 6 Series 630i,60800,25000,30-Sep-09,286,2008,"83,000 km ",Auto,2996,2382,200.0 kW (268 bhp) View specs of the BMW 630i,1540,"3.0L Inline 6 Cylinders 24V Engine Producing 268 BHP, 6 Speed Steptronic Transmission With Paddle Shifters, Panoramic Sunroof, Wide Screen Navigation.","20"" Vossen Rims, Keyless Entry, Electronic Memory Seats (Driver And Pax). Front And Rear Sensors, Navigation, Auto Rain Sensors, Headlights, Bluetooth","The BMW 6 Series Is One Of The Best-Looking Cars In The BMW Range And Offers A Stylish, Sporty Alternative To The Luxurious That Have Formed The Mainstay Of The German Brand's Line-up. Low Mileage, Immaculate Condition Inside And Out! Very Well Taken Care Of By Fussy Owner! Trade In Are Welcomed! Flexible Loans Available! Call Now For Viewing Appointment!",17501,81874,81874,42327,3,Sports Car,"PARF Car, Premium Ad Car, Low Mileage Car",TRUE
BMW 5 Series 528i,84800,15690,31-Oct-12,1412,2012,"137,000 km ",Auto,1997,1210,180.0 kW (241 bhp) View specs of the BMW 528i,1620,"2.0 L In Line 4 Cylinder BMW Twin Power Turbo Charger,8 Speed Steptronic Transmission, ABS, ESP, PDC, Srs Airbags, Comfort/Sports Plus/Eco Pro Mode.","Sports Rims, Leather Seats, Dual Air-con Control, Rear Aircon, Navigation, GPS, Soft-closing Doors, Reverse Camera, Keyless Entry/Start.","1 Owner Unit! Full Leather Interior! Parallel Auto Parking Assist, Suction Door, Paddle Shift, Auto Tailgate, Bluetooth, Space Grey Colour! In-house Finance Available! Attractive Interest Rate! Up To 90% Loan Available! Trade In Are Welcome! Lowest Price In The Market. Price Negotiable. Serious Buyer Are Welcome!",85801,47754,47754,64350,1,Luxury Sedan,PARF Car,TRUE
Volvo XC90 2.5T,55800,13230,14-Mar-11,820,2010,"174,000 km ",Auto,2521,1824,154.0 kW (206 bhp) View specs of the Volvo XC90 (2008-2012),2093,"SRS Airbags, ABS, Side Mirror Indicator, Multi Function Steering, Electric/Memory Seats, Rear Aircon.","Sports Rims, Leather Seats, CD Player, Reverse Sensors, Fog Lamps, Side Step/Roof Rack, Solar Film.",In House Finance And Trade In Available. Lowest Price In The Market. Price Negotiable. Serious Buyer Are Welcome!,75789,52080,52080,48295,2,SUV,PARF Car,TRUE
Maserati Ghibli 3.0A,262000,29190,17-Dec-15,2558,2014,"37,100 km ",Auto,2979,2362,243.0 kW (325 bhp) View specs of the Maserati Ghibli (2013),1850,Powerful 3.0L V6 Twin Turbo Engine With 325BHP. 8 Speed Automatic Gear. Top Speed At 285km/h.,"Keyless Entry/Start, Adjustable Sunroof, Full Virtual Cockpit Attached With Driver's Memory Seats, Bluetooth, Reverse Camera, 18"" Sports Rims.",Almost Brand New Condition. In House Loan And Trade In Available. Don'T Miss Out On This Beauty! Lowest Price In The Market. Price Negotiable. Serious Buyer Are Welcome!,60689,79200,114560,128485,1,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
Hyundai Elantra 1.6A GLS,79999,8660,26-May-17,3082,2016,"3,000 km ",Auto,1591,738,93.8 kW (125 bhp) View specs of the Hyundai Elantra (2016-2018),1345,"4 Cylinder Inline 16 Valve Dual CVVT Engine, Multi Function Steering, Keyless Entry/Start, Auto Headlights, Retractable Side Mirrors, Cruise Control.","Standard Accessories, Leather Seats, Sports Rims, HUD, Front And Reverse Camera, Reverse Sensors, Driver Power Seat, White Daylight, Fog Lamps, HID.","Fully Serviced, Beautiful Interior And Sleek Finish. Call To View And Test Drive Now! Extremely Low Mileage! Accident Free. High Loan Can Be Arrange. 10% Down Payment.",51600,13663,13663,53860,1,Mid-Sized Sedan,"PARF Car, Low Mileage Car",TRUE
Audi Q3 2.0A TFSI Quattro,124800,12260,5-Jan-17,2942,2011,"5,222 km ",Auto,1984,1194,155.0 kW (207 bhp) View specs of the Audi Q3 (2012),1640,"2.0L Inline 4 Cylinder TFSI Engine, 7 Speed S-Tronic, 211 Bhp. All Wheel Drive, Airbags, Rear Aircon, Side Mirror Indicators, Multi Function Steering","Panoramic Roof, Bluetooth, Keyless Entry/start, Paddle Shifter, 18"" Sports Rims, Electric Seats.","$0 Down Payment With Our Flexible In House Loan Options. 1 Year Warranty By Jack Cars Service Centre. Free Jack Cars Servicing Vouchers! Beautiful White Audi Q3 S-Line 2.0, 211Bhp, Torque At 300 Nm. Cheapest In The Market. Well Maintained By One Owner, Super Low Mileage Done, Excellent Condition! Selling Below Market Value! Call Our Friendly Salesperson Now Or Walk In For Viewing With No Obligati",53001,42736,51831,81623,1,SUV,"PARF Car, Low Mileage Car",TRUE
Bentley Continental GT 4.0A V8,588000,58180,29-Jul-16,2780,2015,"6,000 km ",Auto,3993,3940,373.0 kW (500 bhp) View specs of the Bentley Continental GT (2011),2295,"Twin-Turbo Charged V8 Engine Producing 500Bhp, 660Nm Of Torque, AWD, 8 Speed Automatic Transmission, 0 To 100Km/H In 4.6s, Top Speed Of 305Km/H.","Keyless, Xenon Lights With DRL, Bluetooth, Multi Function Steering Wheel, Mulinear Wheel Set And Accessories. Bentley Logo Embroidery On All Headrests.","1 Owner, Agent Warranty, Consignment Car, The Exhilarating Sports Sedan Built With Added Touch Of Sportiness To Its Superbly Crafted Interior For Your Enjoyment. Call For An Appointment Now!",57508,175777,288399,260163,1,Sports Car,"PARF Car, Rare & Exotic, Low Mileage Car",TRUE
Mercedes-Benz E-Class E250 Avantgarde,74000,13720,30-Apr-12,1231,2011,"105,000 km ",Auto,1796,974,150.0 kW (201 bhp) View specs of the Mercedes-Benz E-Class Saloon (2009-2013),1650,"1.8L 4 Cylinder Inline Turbocharged Engine At 201Bhp, 7G-Tronic Auto Transmission, Keyless Go, Auto Start/Stop, Cruise Control, RWD.","Sports Rims, Day Time Running Lights, Full Memory Seats, Reverse Camera, Auto Head Lights, Rain Sensors, 6 CDs Changer With Aux Interface.","Excellent Condition. 100% Accident Free And Well Maintained. Black Interior Upholstery, Easy To Maintain, Viewings And Test Drives Are Strictly By Appointment Only. Up To 90% Loan And Trade In Available.",79304,55277,55277,62720,2,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
